127.0.0.1 - - [03/Dec/2022:19:06:33 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:06:33 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:06:33 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:06:58 -0600] "GET /TiendaVideojuegos/formularioVideojuego.html HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:07:18 -0600] "GET /TiendaVideojuegos/FormularioVideojuego.html HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:08:18 -0600] "GET /TiendaVideojuegos/FormularioVideojuego.html HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:12:05 -0600] "GET /TiendaVideojuegos/FormularioVideojuego.html HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:12:34 -0600] "GET /TiendaVideojuegos/FormularioVideojuego.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:13:17 -0600] "GET /TiendaVideojuegos/FormularioVideojuego.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:13:19 -0600] "GET /TiendaVideojuegos/FormularioVideojuego.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:13:27 -0600] "GET /TiendaVideojuegos/FormularioVideojuego.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:16:32 -0600] "GET /TiendaVideojuegos/FormularioVideojuego.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2022:19:16:33 -0600] "GET /TiendaVideojuegos/FormularioVideojuego.html HTTP/1.1" 304 -
