127.0.0.1 - - [27/Jan/2023:10:25:38 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:25:39 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:25:39 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:26:39 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 4757
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:27:00 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 4765
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:27:01 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 4765
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:47:51 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 5009
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:55:59 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:55:59 -0600] "GET /TiendaVideojuegos/js/filtrar_vid.js HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:56:01 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:56:01 -0600] "GET /TiendaVideojuegos/js/filtrar_vid.js HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:56:01 -0600] "GET /TiendaVideojuegos/css/mostrarVideojuegos.css HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [27/Jan/2023:10:56:02 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:09:23 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 5136
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:09:23 -0600] "GET /TiendaVideojuegos/css/mostrarVideojuegos.css HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:09:23 -0600] "GET /TiendaVideojuegos/js/filtrar_vid.js HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:09:23 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:10:41 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 5136
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:10:41 -0600] "GET /TiendaVideojuegos/js/filtrar_vid.js HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:10:42 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 5136
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:10:42 -0600] "GET /TiendaVideojuegos/js/filtrar_vid.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:12:56 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 5136
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:12:56 -0600] "GET /TiendaVideojuegos/css/mostrarVideojuegos.css HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:12:56 -0600] "GET /TiendaVideojuegos/js/filtrar_vid.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:12:56 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:15:17 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 5136
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:15:17 -0600] "GET /TiendaVideojuegos/js/filtrar_vid.js HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:15:47 -0600] "GET /TiendaVideojuegos/ HTTP/1.1" 200 5136
0:0:0:0:0:0:0:1 - - [27/Jan/2023:11:15:47 -0600] "GET /TiendaVideojuegos/js/filtrar_vid.js HTTP/1.1" 200 483
